development-plan-type,development-plan-type-slug,development-plan-document,development-plan-document-slug
local-plan,/development-plan-type/local-plan,dev-plan-LP-2015,/development-plan-document/local-authority-eng/LBH/dev-plan-LP-2015
local-plan,/development-plan-type/local-plan,dev-plan-DRLLP,/development-plan-document/local-authority-eng/LBH/dev-plan-DRLLP
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-sown,/development-plan-document/local-authority-eng/LBH/neigh-plan-sown
local-plan,/development-plan-type/local-plan,dev-plan-buc-avdlp,/development-plan-document/local-authority-eng/AYL/dev-plan-buc-avdlp
local-plan,/development-plan-type/local-plan,dev-plan-buc-avdlp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-avdlp
local-plan,/development-plan-type/local-plan,dev-plan-buc-blp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-blp
minerals-waste,/development-plan-type/minerals-waste,dev-plan-buc-bmwlp,/development-plan-document/local-authority-eng/BKM/dev-plan-buc-bmwlp
minerals-waste,/development-plan-type/minerals-waste,dev-plan-buc-bmwlp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-bmwlp
local-plan,/development-plan-type/local-plan,dev-plan-buc-ccs,/development-plan-document/local-authority-eng/CHN/dev-plan-buc-ccs
local-plan,/development-plan-type/local-plan,dev-plan-buc-ccs,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-ccs
local-plan,/development-plan-type/local-plan,dev-plan-buc-clp,/development-plan-document/local-authority-eng/CHN/dev-plan-buc-clp
local-plan,/development-plan-type/local-plan,dev-plan-buc-clp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-clp
site-allocations,/development-plan-type/site-allocations,dev-plan-buc-dsa,/development-plan-document/local-authority-eng/WYO/dev-plan-buc-dsa
site-allocations,/development-plan-type/site-allocations,dev-plan-buc-dsa,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-dsa
local-plan,/development-plan-type/local-plan,dev-plan-buc-sbcs,/development-plan-document/local-authority-eng/SBU/dev-plan-buc-sbcs
local-plan,/development-plan-type/local-plan,dev-plan-buc-sbcs,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-sbcs
local-plan,/development-plan-type/local-plan,dev-plan-buc-sblp,/development-plan-document/local-authority-eng/SBU/dev-plan-buc-sblp
local-plan,/development-plan-type/local-plan,dev-plan-buc-sblp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-sblp
local-plan,/development-plan-type/local-plan,dev-plan-buc-valp,/development-plan-document/local-authority-eng/AYL/dev-plan-buc-valp
local-plan,/development-plan-type/local-plan,dev-plan-buc-valp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-valp
local-plan,/development-plan-type/local-plan,dev-plan-buc-wdlp,/development-plan-document/local-authority-eng/WYO/dev-plan-buc-wdlp
local-plan,/development-plan-type/local-plan,dev-plan-buc-wdlp,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-wdlp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-astonabbotsndp,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-astonabbotsndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-astonabbotsndp,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-astonabbotsndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-astonclintonndp,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-astonclintonndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-astonclintonndp,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-astonclintonndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-beaconsfieldndp,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-beaconsfieldndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-biertonbroughtonndp,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-biertonbroughtonndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-biertonbroughtonndp,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-biertonbroughtonndp
neighbourhood-plan,/development-plan-type/neighbourhood-plan,neigh-plan-buc-bledlowcumsaundertonndp,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-bledlowcumsaundertonndp
